URL,Page Type,HTTPS Works,Mobile 320px,Mobile 768px,Desktop 1200px,Hero Section,Hero Details,Why Choose Us,Why Choose Details,Related/Cross-sell,Related Details,Testimonials,Testimonial Details,Inquire Now CTA,CTA Details,Other Buttons,Button Details,External Links,External Link Details,Internal Links,Internal Link Details,Forms,Form Details,Images,Image Details,SEO/Schema,SEO Details,Content Accuracy,Content Details,Issues Found,Priority,Tester,Date,Status

HOMEPAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/,Landing Page,,,,,Check hero image/video loads - title displays - stats visible,Hero should have main headline and CTA button,N/A for homepage,,Check featured courses display,Should show 3-4 featured course cards with Learn More buttons,Check Trustindex widget loads,Google reviews should display with ratings,Main CTA in hero,Should link to /student-enrollment/,Navigation menu items - footer links,All nav items should open correct pages,Footer social links if any,Check Facebook/Instagram/LinkedIn links open in new tab,Logo link - nav links - footer links - course cards,All should navigate to correct pages without 404,Contact form if present,Form should validate and submit,Hero image - course card images - icons,All images load with alt text,Meta title - OG tags - Organization schema,Check page title in browser tab,Phone number - email - address - copyright year,Verify all contact info is current,,,,

SHSAT PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/nyc-top-shsat-prep-program/,Landing Page,,,,,Hero with SHSAT title and stats,Should show track record stats (students helped etc),SHSAT version displays,Check [why_choose_shsat] content shows,Links to SHSAT courses,Should show SHSAT boot camps and tutoring options,Trustindex widget,Reviews widget loads at bottom,Multiple CTAs throughout page,All should go to /student-enrollment/?course_name=SHSAT,School links section,Check [shsat_schools] shortcode - Trinity/Brearley/Dalton etc,https://www.trinityschoolnyc.org/ https://www.brearley.org/ https://www.dalton.org/ https://www.horacemann.org/ https://www.riverdale.edu/ https://www.regis.org/ https://www.collegiateschool.org/ https://www.stpetersprep.org/ https://www.xavierhs.org/,All 9 school links should open in new tab,Breadcrumbs - course links - FAQ link,All internal navigation works,N/A,N/A,Hero image - school logos - icons,All load properly,Course schema - breadcrumb schema,Valid structured data,Program details - schedules - pricing info,All info is current and accurate,,,,

http://nycstemclub.local/courses/shsat-fall-boot-camp/,Course Page,,,,,Hero with course title - tagline - 4 stats,Stats should show track record numbers with SVG icons,SHSAT version displays,Should show [why_choose_shsat] content,Related SHSAT courses + Upper ISEE cross-sell,Check related courses section shows other SHSAT options,Trustindex widget,Reviews load in testimonials section,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=SHSAT%20Fall%20Boot%20Camp,Learn More on related cards - FAQ link,Related course buttons link correctly,N/A,N/A,Breadcrumbs - related course links - FAQ page link,All navigate correctly,N/A,N/A,Featured image - stat icons - related course images,All display properly,Course schema with price/availability,Check with Google Rich Results Test,Course description - schedule - duration,Content matches actual offering,,,,

http://nycstemclub.local/courses/shsat-spring-boot-camp/,Course Page,,,,,Hero with course title - tagline - 4 stats,Stats should show track record numbers with SVG icons,SHSAT version displays,Should show [why_choose_shsat] content,Related SHSAT courses + Upper ISEE cross-sell,Check related courses section shows other SHSAT options,Trustindex widget,Reviews load in testimonials section,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=SHSAT%20Spring%20Boot%20Camp,Learn More on related cards - FAQ link,Related course buttons link correctly,N/A,N/A,Breadcrumbs - related course links - FAQ page link,All navigate correctly,N/A,N/A,Featured image - stat icons - related course images,All display properly,Course schema with price/availability,Check with Google Rich Results Test,Course description - schedule - duration,Content matches actual offering,,,,

http://nycstemclub.local/courses/shsat-summer-boot-camp/,Course Page,,,,,Hero with course title - tagline - 4 stats,Stats should show track record numbers with SVG icons,SHSAT version displays,Should show [why_choose_shsat] content,Related SHSAT courses + Upper ISEE cross-sell,Check related courses section shows other SHSAT options,Trustindex widget,Reviews load in testimonials section,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=SHSAT%20Summer%20Boot%20Camp,Learn More on related cards - FAQ link,Related course buttons link correctly,N/A,N/A,Breadcrumbs - related course links - FAQ page link,All navigate correctly,N/A,N/A,Featured image - stat icons - related course images,All display properly,Course schema with price/availability,Check with Google Rich Results Test,Course description - schedule - duration,Content matches actual offering,,,,

